[2025-01-07 09:43:49.777] [info] Config path: /home/yanwen/Desktop/redwood-comp/resources/jetson.yaml
2025-01-07T09:43:49-08:00
Running /home/yanwen/Desktop/redwood-comp/build/linux/arm64/release/bm-tree-cpu
Run on (6 X 1510.4 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x6)
  L1 Instruction 64 KiB (x6)
  L2 Unified 256 KiB (x6)
  L3 Unified 2048 KiB (x1)
Load Average: 0.44, 0.56, 0.25
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CPU_Pinned/run_stage1/small/1/iterations:100",100,3.80969,0.0148845,ms,,,,,
"CPU_Pinned/run_stage1/small/2/iterations:100",100,2.01274,0.0193952,ms,,,,,
"CPU_Pinned/run_stage1/small/3/iterations:100",100,1.36118,0.0262909,ms,,,,,
"CPU_Pinned/run_stage1/small/4/iterations:100",100,1.07445,0.0372758,ms,,,,,
"CPU_Pinned/run_stage1/small/5/iterations:100",100,0.850078,0.0267024,ms,,,,,
"CPU_Pinned/run_stage1/small/6/iterations:100",100,0.653799,0.0366499,ms,,,,,
"CPU_Pinned/run_stage2/small/1/iterations:100",100,9.42772,0.0591267,ms,,,,,
"CPU_Pinned/run_stage2/small/2/iterations:100",100,5.01051,0.0861786,ms,,,,,
"CPU_Pinned/run_stage2/small/3/iterations:100",100,3.43397,0.100828,ms,,,,,
"CPU_Pinned/run_stage2/small/4/iterations:100",100,2.66937,0.120974,ms,,,,,
"CPU_Pinned/run_stage2/small/5/iterations:100",100,2.30154,0.115375,ms,,,,,
"CPU_Pinned/run_stage2/small/6/iterations:100",100,1.88565,0.13042,ms,,,,,
"CPU_Pinned/run_stage3/small/1/iterations:100",100,0.358086,0.349298,ms,,,,,
"CPU_Pinned/run_stage3/small/2/iterations:100",100,0.311713,0.310711,ms,,,,,
"CPU_Pinned/run_stage3/small/3/iterations:100",100,0.291877,0.290914,ms,,,,,
"CPU_Pinned/run_stage3/small/4/iterations:100",100,0.29227,0.291505,ms,,,,,
"CPU_Pinned/run_stage3/small/5/iterations:100",100,0.292397,0.291338,ms,,,,,
"CPU_Pinned/run_stage3/small/6/iterations:100",100,0.313267,0.312186,ms,,,,,
"CPU_Pinned/run_stage4/small/1/iterations:100",100,34.6658,0.0364224,ms,,,,,
"CPU_Pinned/run_stage4/small/2/iterations:100",100,17.897,0.0378902,ms,,,,,
"CPU_Pinned/run_stage4/small/3/iterations:100",100,11.9174,0.038031,ms,,,,,
"CPU_Pinned/run_stage4/small/4/iterations:100",100,8.83426,0.0390659,ms,,,,,
"CPU_Pinned/run_stage4/small/5/iterations:100",100,7.12409,0.0346531,ms,,,,,
"CPU_Pinned/run_stage4/small/6/iterations:100",100,3.07834,0.0313994,ms,,,,,
"CPU_Pinned/run_stage5/small/1/iterations:100",100,1.0492,0.0122646,ms,,,,,
"CPU_Pinned/run_stage5/small/2/iterations:100",100,0.531096,0.016591,ms,,,,,
"CPU_Pinned/run_stage5/small/3/iterations:100",100,0.339457,0.0173869,ms,,,,,
"CPU_Pinned/run_stage5/small/4/iterations:100",100,0.317805,0.026257,ms,,,,,
"CPU_Pinned/run_stage5/small/5/iterations:100",100,0.335928,0.031896,ms,,,,,
"CPU_Pinned/run_stage5/small/6/iterations:100",100,0.286578,0.0347034,ms,,,,,
"CPU_Pinned/run_stage6/small/1/iterations:100",100,0.540809,0.0107981,ms,,,,,
"CPU_Pinned/run_stage6/small/2/iterations:100",100,0.266244,0.0139674,ms,,,,,
"CPU_Pinned/run_stage6/small/3/iterations:100",100,0.248827,0.0204701,ms,,,,,
"CPU_Pinned/run_stage6/small/4/iterations:100",100,0.21073,0.0256445,ms,,,,,
"CPU_Pinned/run_stage6/small/5/iterations:100",100,0.13858,0.0282851,ms,,,,,
"CPU_Pinned/run_stage6/small/6/iterations:100",100,0.191093,0.0270358,ms,,,,,
"CPU_Pinned/run_stage7/small/1/iterations:100",100,0.767848,0.0105229,ms,,,,,
"CPU_Pinned/run_stage7/small/2/iterations:100",100,0.391431,0.01688,ms,,,,,
"CPU_Pinned/run_stage7/small/3/iterations:100",100,0.229659,0.0181696,ms,,,,,
"CPU_Pinned/run_stage7/small/4/iterations:100",100,0.253881,0.0234774,ms,,,,,
"CPU_Pinned/run_stage7/small/5/iterations:100",100,0.224038,0.0256384,ms,,,,,
"CPU_Pinned/run_stage7/small/6/iterations:100",100,0.197198,0.0291728,ms,,,,,
"CPU_Unpinned/run_stage1/1/iterations:100",100,2.78778,0.00817088,ms,,,,,
"CPU_Unpinned/run_stage1/2/iterations:100",100,1.40755,0.0141002,ms,,,,,
"CPU_Unpinned/run_stage1/3/iterations:100",100,1.16463,0.0216381,ms,,,,,
"CPU_Unpinned/run_stage1/4/iterations:100",100,1.03741,0.0252797,ms,,,,,
"CPU_Unpinned/run_stage1/5/iterations:100",100,1.07472,0.0372477,ms,,,,,
"CPU_Unpinned/run_stage1/6/iterations:100",100,0.705583,0.0315616,ms,,,,,
"CPU_Unpinned/run_stage2/1/iterations:100",100,7.60388,0.0372365,ms,,,,,
"CPU_Unpinned/run_stage2/2/iterations:100",100,4.49493,0.0608979,ms,,,,,
"CPU_Unpinned/run_stage2/3/iterations:100",100,1.77196,0.0386179,ms,,,,,
"CPU_Unpinned/run_stage2/4/iterations:100",100,2.53142,0.0806531,ms,,,,,
"CPU_Unpinned/run_stage2/5/iterations:100",100,2.72444,0.109412,ms,,,,,
"CPU_Unpinned/run_stage2/6/iterations:100",100,2.22115,0.118154,ms,,,,,
"CPU_Unpinned/run_stage3/1/iterations:100",100,0.540146,0.526712,ms,,,,,
"CPU_Unpinned/run_stage3/2/iterations:100",100,0.33955,0.338468,ms,,,,,
"CPU_Unpinned/run_stage3/3/iterations:100",100,0.326888,0.326021,ms,,,,,
"CPU_Unpinned/run_stage3/4/iterations:100",100,0.311324,0.310479,ms,,,,,
"CPU_Unpinned/run_stage3/5/iterations:100",100,0.315871,0.314904,ms,,,,,
"CPU_Unpinned/run_stage3/6/iterations:100",100,0.300277,0.299394,ms,,,,,
"CPU_Unpinned/run_stage4/1/iterations:100",100,33.9824,0.0323459,ms,,,,,
"CPU_Unpinned/run_stage4/2/iterations:100",100,15.7906,0.0235728,ms,,,,,
"CPU_Unpinned/run_stage4/3/iterations:100",100,11.1324,0.0241414,ms,,,,,
"CPU_Unpinned/run_stage4/4/iterations:100",100,6.20688,0.0290698,ms,,,,,
"CPU_Unpinned/run_stage4/5/iterations:100",100,5.23736,0.0400115,ms,,,,,
"CPU_Unpinned/run_stage4/6/iterations:100",100,4.38147,0.040016,ms,,,,,
"CPU_Unpinned/run_stage5/1/iterations:100",100,0.559778,0.00458752,ms,,,,,
"CPU_Unpinned/run_stage5/2/iterations:100",100,0.401057,0.00947232,ms,,,,,
"CPU_Unpinned/run_stage5/3/iterations:100",100,0.244952,0.0116736,ms,,,,,
"CPU_Unpinned/run_stage5/4/iterations:100",100,0.280111,0.017241,ms,,,,,
"CPU_Unpinned/run_stage5/5/iterations:100",100,0.266816,0.026529,ms,,,,,
"CPU_Unpinned/run_stage5/6/iterations:100",100,0.247911,0.0238208,ms,,,,,
"CPU_Unpinned/run_stage6/1/iterations:100",100,0.300967,0.00469472,ms,,,,,
"CPU_Unpinned/run_stage6/2/iterations:100",100,0.152538,0.00635936,ms,,,,,
