[1/2] Running bm-cifar-dense-cpu on device: 3A021JEHN02756
build/android/arm64-v8a/release/bm-cifar-dense-cpu: 1 file pushed, 0 skipped. 449.0 MB/s (1689200 bytes in 0.004s)
[2025-01-07 09:39:06.552] [info] Config path: /data/local/tmp/resources/3A021JEHN02756.yaml
2025-01-07T09:39:06-08:00
Running /data/local/tmp/bm-cifar-dense-cpu
Run on (8 X 1803 MHz CPU s)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CPU_Pinned/run_stage1_sync/small/1/iterations:100",100,29.4382,0.323857,ms,,,,,
"CPU_Pinned/run_stage1_sync/small/2/iterations:100",100,12.0412,0.272246,ms,,,,,
"CPU_Pinned/run_stage1_sync/small/3/iterations:100",100,6.14655,0.548045,ms,,,,,
"CPU_Pinned/run_stage1_sync/small/4/iterations:100",100,5.00991,0.806258,ms,,,,,
"CPU_Pinned/run_stage1_sync/medium/1/iterations:100",100,4.2317,0.0448494,ms,,,,,
"CPU_Pinned/run_stage1_sync/medium/2/iterations:100",100,1.55223,0.0615006,ms,,,,,
"CPU_Pinned/run_stage1_sync/big/1/iterations:100",100,8.06207,0.161843,ms,,,,,
"CPU_Pinned/run_stage1_sync/big/2/iterations:100",100,1.56012,0.0527168,ms,,,,,
"CPU_Pinned/run_stage2_sync/small/1/iterations:100",100,1.38382,0.100221,ms,,,,,
"CPU_Pinned/run_stage2_sync/small/2/iterations:100",100,0.604953,0.0667643,ms,,,,,
"CPU_Pinned/run_stage2_sync/small/3/iterations:100",100,0.455891,0.072454,ms,,,,,
"CPU_Pinned/run_stage2_sync/small/4/iterations:100",100,0.31972,0.044753,ms,,,,,
"CPU_Pinned/run_stage2_sync/medium/1/iterations:100",100,0.405345,0.025868,ms,,,,,
"CPU_Pinned/run_stage2_sync/medium/2/iterations:100",100,0.204193,0.0125191,ms,,,,,
"CPU_Pinned/run_stage2_sync/big/1/iterations:100",100,0.427289,0.0291134,ms,,,,,
"CPU_Pinned/run_stage2_sync/big/2/iterations:100",100,0.227288,0.0245175,ms,,,,,
"CPU_Pinned/run_stage3_sync/small/1/iterations:100",100,235.082,0.270413,ms,,,,,
"CPU_Pinned/run_stage3_sync/small/2/iterations:100",100,118.04,0.355848,ms,,,,,
"CPU_Pinned/run_stage3_sync/small/3/iterations:100",100,78.7937,0.34352,ms,,,,,
"CPU_Pinned/run_stage3_sync/small/4/iterations:100",100,59.9234,0.746191,ms,,,,,
"CPU_Pinned/run_stage3_sync/medium/1/iterations:100",100,42.4715,0.398821,ms,,,,,
"CPU_Pinned/run_stage3_sync/medium/2/iterations:100",100,21.1386,0.395076,ms,,,,,
"CPU_Pinned/run_stage3_sync/big/1/iterations:100",100,41.4833,0.212871,ms,,,,,
"CPU_Pinned/run_stage3_sync/big/2/iterations:100",100,18.5881,0.262926,ms,,,,,
"CPU_Pinned/run_stage4_sync/small/1/iterations:100",100,1.00372,0.0772694,ms,,,,,
"CPU_Pinned/run_stage4_sync/small/2/iterations:100",100,0.489852,0.0756135,ms,,,,,
"CPU_Pinned/run_stage4_sync/small/3/iterations:100",100,0.364281,0.0833166,ms,,,,,
"CPU_Pinned/run_stage4_sync/small/4/iterations:100",100,0.316986,0.0643796,ms,,,,,
"CPU_Pinned/run_stage4_sync/medium/1/iterations:100",100,0.317633,0.0266776,ms,,,,,
"CPU_Pinned/run_stage4_sync/medium/2/iterations:100",100,0.159592,0.0259407,ms,,,,,
"CPU_Pinned/run_stage4_sync/big/1/iterations:100",100,0.318734,0.0212407,ms,,,,,
"CPU_Pinned/run_stage4_sync/big/2/iterations:100",100,0.158544,0.0150125,ms,,,,,
"CPU_Pinned/run_stage5_sync/small/1/iterations:100",100,333.994,0.335616,ms,,,,,
"CPU_Pinned/run_stage5_sync/small/2/iterations:100",100,167.204,0.348691,ms,,,,,
"CPU_Pinned/run_stage5_sync/small/3/iterations:100",100,111.65,0.370335,ms,,,,,
"CPU_Pinned/run_stage5_sync/small/4/iterations:100",100,84.8946,0.853512,ms,,,,,
"CPU_Pinned/run_stage5_sync/medium/1/iterations:100",100,63.4366,0.379216,ms,,,,,
"CPU_Pinned/run_stage5_sync/medium/2/iterations:100",100,31.6719,0.477231,ms,,,,,
"CPU_Pinned/run_stage5_sync/big/1/iterations:100",100,54.9907,0.254755,ms,,,,,
"CPU_Pinned/run_stage5_sync/big/2/iterations:100",100,27.5699,0.353577,ms,,,,,
"CPU_Pinned/run_stage6_sync/small/1/iterations:100",100,445.477,0.330922,ms,,,,,
"CPU_Pinned/run_stage6_sync/small/2/iterations:100",100,222.855,0.414635,ms,,,,,
"CPU_Pinned/run_stage6_sync/small/3/iterations:100",100,148.944,0.434522,ms,,,,,
"CPU_Pinned/run_stage6_sync/small/4/iterations:100",100,113.289,0.761195,ms,,,,,
"CPU_Pinned/run_stage6_sync/medium/1/iterations:100",100,84.078,0.431549,ms,,,,,
"CPU_Pinned/run_stage6_sync/medium/2/iterations:100",100,41.5776,0.383566,ms,,,,,
"CPU_Pinned/run_stage6_sync/big/1/iterations:100",100,71.086,0.436064,ms,,,,,
"CPU_Pinned/run_stage6_sync/big/2/iterations:100",100,37.6913,0.298559,ms,,,,,
"CPU_Pinned/run_stage7_sync/small/1/iterations:100",100,297.625,0.283584,ms,,,,,
"CPU_Pinned/run_stage7_sync/small/2/iterations:100",100,148.997,0.363233,ms,,,,,
"CPU_Pinned/run_stage7_sync/small/3/iterations:100",100,99.5097,0.393427,ms,,,,,
"CPU_Pinned/run_stage7_sync/small/4/iterations:100",100,76.154,0.947718,ms,,,,,
"CPU_Pinned/run_stage7_sync/medium/1/iterations:100",100,55.6855,0.41085,ms,,,,,
"CPU_Pinned/run_stage7_sync/medium/2/iterations:100",100,28.6148,0.299087,ms,,,,,
"CPU_Pinned/run_stage7_sync/big/1/iterations:100",100,49.8814,0.265131,ms,,,,,
"CPU_Pinned/run_stage7_sync/big/2/iterations:100",100,24.6947,0.340955,ms,,,,,
"CPU_Pinned/run_stage8_sync/small/1/iterations:100",100,0.361771,0.0548007,ms,,,,,
"CPU_Pinned/run_stage8_sync/small/2/iterations:100",100,0.189518,0.0316064,ms,,,,,
"CPU_Pinned/run_stage8_sync/small/3/iterations:100",100,0.138907,0.028103,ms,,,,,
"CPU_Pinned/run_stage8_sync/small/4/iterations:100",100,0.109222,0.0275236,ms,,,,,
"CPU_Pinned/run_stage8_sync/medium/1/iterations:100",100,0.109897,0.0155469,ms,,,,,
"CPU_Pinned/run_stage8_sync/medium/2/iterations:100",100,0.0595406,0.0120761,ms,,,,,
"CPU_Pinned/run_stage8_sync/big/1/iterations:100",100,0.120849,0.015057,ms,,,,,
"CPU_Pinned/run_stage8_sync/big/2/iterations:100",100,0.066984,0.0255933,ms,,,,,
"CPU_Pinned/run_stage9_sync/small/1/iterations:100",100,0.176242,0.0235612,ms,,,,,
"CPU_Pinned/run_stage9_sync/small/2/iterations:100",100,0.0986527,0.0187918,ms,,,,,
"CPU_Pinned/run_stage9_sync/small/3/iterations:100",100,0.0834249,0.0202722,ms,,,,,
"CPU_Pinned/run_stage9_sync/small/4/iterations:100",100,0.067356,0.0219848,ms,,,,,
"CPU_Pinned/run_stage9_sync/medium/1/iterations:100",100,0.265818,0.0222738,ms,,,,,
"CPU_Pinned/run_stage9_sync/medium/2/iterations:100",100,0.0606779,0.0169458,ms,,,,,
