[1/2] Running bm-cifar-sparse-cpu on device: 3A021JEHN02756
build/android/arm64-v8a/release/bm-cifar-sparse-cpu: 1 file pushed, 0 skipped. 477.0 MB/s (1718696 bytes in 0.003s)
[2025-01-07 09:36:56.407] [info] Config path: /data/local/tmp/resources/3A021JEHN02756.yaml
2025-01-07T09:36:56-08:00
Running /data/local/tmp/bm-cifar-sparse-cpu
Run on (8 X 1803 MHz CPU s)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CPU_Pinned/run_stage1/small/1/iterations:100",100,0.930818,0.0561328,ms,,,,,
"CPU_Pinned/run_stage1/small/2/iterations:100",100,0.423989,0.0427132,ms,,,,,
"CPU_Pinned/run_stage1/small/3/iterations:100",100,0.300269,0.0307166,ms,,,,,
"CPU_Pinned/run_stage1/small/4/iterations:100",100,0.243357,0.045201,ms,,,,,
"CPU_Pinned/run_stage1/medium/1/iterations:100",100,0.216371,0.0274052,ms,,,,,
"CPU_Pinned/run_stage1/medium/2/iterations:100",100,0.115907,0.0194047,ms,,,,,
"CPU_Pinned/run_stage1/big/1/iterations:100",100,0.0952669,0.0152136,ms,,,,,
"CPU_Pinned/run_stage1/big/2/iterations:100",100,0.0702771,0.0180555,ms,,,,,
"CPU_Pinned/run_stage2/small/1/iterations:100",100,1.31666,0.0376607,ms,,,,,
"CPU_Pinned/run_stage2/small/2/iterations:100",100,0.586409,0.0364208,ms,,,,,
"CPU_Pinned/run_stage2/small/3/iterations:100",100,0.396567,0.0317656,ms,,,,,
"CPU_Pinned/run_stage2/small/4/iterations:100",100,0.323944,0.0331413,ms,,,,,
"CPU_Pinned/run_stage2/medium/1/iterations:100",100,0.592088,0.0195943,ms,,,,,
"CPU_Pinned/run_stage2/medium/2/iterations:100",100,0.274003,0.0249911,ms,,,,,
"CPU_Pinned/run_stage2/big/1/iterations:100",100,0.349889,0.0536166,ms,,,,,
"CPU_Pinned/run_stage2/big/2/iterations:100",100,0.155278,0.0198569,ms,,,,,
"CPU_Pinned/run_stage3/small/1/iterations:100",100,0.626318,0.0372261,ms,,,,,
"CPU_Pinned/run_stage3/small/2/iterations:100",100,0.325991,0.0211919,ms,,,,,
"CPU_Pinned/run_stage3/small/3/iterations:100",100,0.230233,0.0220252,ms,,,,,
"CPU_Pinned/run_stage3/small/4/iterations:100",100,0.177694,0.0226017,ms,,,,,
"CPU_Pinned/run_stage3/medium/1/iterations:100",100,0.151718,0.0118571,ms,,,,,
"CPU_Pinned/run_stage3/medium/2/iterations:100",100,0.100314,0.0219056,ms,,,,,
"CPU_Pinned/run_stage3/big/1/iterations:100",100,0.0756103,0.0102201,ms,,,,,
"CPU_Pinned/run_stage3/big/2/iterations:100",100,0.0631856,0.0180888,ms,,,,,
"CPU_Pinned/run_stage4/small/1/iterations:100",100,0.916044,0.0421086,ms,,,,,
"CPU_Pinned/run_stage4/small/2/iterations:100",100,0.444712,0.0267513,ms,,,,,
"CPU_Pinned/run_stage4/small/3/iterations:100",100,0.319701,0.0292074,ms,,,,,
"CPU_Pinned/run_stage4/small/4/iterations:100",100,0.25627,0.0290288,ms,,,,,
"CPU_Pinned/run_stage4/medium/1/iterations:100",100,0.353392,0.0138041,ms,,,,,
