[1/2] Running bm-cifar-sparse-vk on device: 3A021JEHN02756
build/android/arm64-v8a/release/bm-cifar-sparse-vk: 1 file pushed, 0 skipped. 551.0 MB/s (8104640 bytes in 0.014s)
2025-01-07T09:38:12-08:00
Running /data/local/tmp/bm-cifar-sparse-vk
Run on (8 X 1803 MHz CPU s)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"iGPU_Vulkan/run_stage1/iterations:100",100,1.94469,0.121142,ms,,,,,
"iGPU_Vulkan/run_stage2/iterations:100",100,0.28484,0.0679244,ms,,,,,
"iGPU_Vulkan/run_stage3/iterations:100",100,0.742208,0.0470667,ms,,,,,
"iGPU_Vulkan/run_stage4/iterations:100",100,0.27177,0.0328785,ms,,,,,
"iGPU_Vulkan/run_stage5/iterations:100",100,0.387947,0.0343546,ms,,,,,
"iGPU_Vulkan/run_stage6/iterations:100",100,0.379237,0.0363578,ms,,,,,
"iGPU_Vulkan/run_stage7/iterations:100",100,0.434797,0.0464025,ms,,,,,
"iGPU_Vulkan/run_stage8/iterations:100",100,0.235499,0.0314396,ms,,,,,
"iGPU_Vulkan/run_stage9/iterations:100",100,0.258171,0.0457597,ms,,,,,

[2/2] Running bm-cifar-sparse-vk on device: 9b034f1b
build/android/arm64-v8a/release/bm-cifar-sparse-vk: 1 file pushed, 0 skipped. 559.0 MB/s (8104640 bytes in 0.014s)
2025-01-07T09:35:41-08:00
Running /data/local/tmp/bm-cifar-sparse-vk
Run on (8 X 2016 MHz CPU s)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"iGPU_Vulkan/run_stage1/iterations:100",100,2.78326,0.399267,ms,,,,,
"iGPU_Vulkan/run_stage2/iterations:100",100,0.95359,0.18464,ms,,,,,
"iGPU_Vulkan/run_stage3/iterations:100",100,1.59098,0.30748,ms,,,,,
"iGPU_Vulkan/run_stage4/iterations:100",100,0.984508,0.212336,ms,,,,,
"iGPU_Vulkan/run_stage5/iterations:100",100,1.12115,0.233973,ms,,,,,
"iGPU_Vulkan/run_stage6/iterations:100",100,1.15523,0.242559,ms,,,,,
"iGPU_Vulkan/run_stage7/iterations:100",100,1.14956,0.247558,ms,,,,,
"iGPU_Vulkan/run_stage8/iterations:100",100,1.02057,0.217203,ms,,,,,
"iGPU_Vulkan/run_stage9/iterations:100",100,0.975477,0.195433,ms,,,,,
