[1/2] Running bm-tree-cpu on device: 3A021JEHN02756
build/android/arm64-v8a/release/bm-tree-cpu: 1 file pushed, 0 skipped. 447.3 MB/s (1691200 bytes in 0.004s)
[2025-01-07 09:31:07.386] [info] Config path: /data/local/tmp/resources/3A021JEHN02756.yaml
2025-01-07T09:31:07-08:00
Running /data/local/tmp/bm-tree-cpu
Run on (8 X 1803 MHz CPU s)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CPU_Pinned/run_stage1/small/1/iterations:100",100,26.8095,0.448141,ms,,,,,
"CPU_Pinned/run_stage1/small/2/iterations:100",100,13.925,0.424928,ms,,,,,
"CPU_Pinned/run_stage1/small/3/iterations:100",100,6.57222,0.618971,ms,,,,,
"CPU_Pinned/run_stage1/small/4/iterations:100",100,5.37093,0.809222,ms,,,,,
"CPU_Pinned/run_stage1/medium/1/iterations:100",100,4.27946,0.0496131,ms,,,,,
"CPU_Pinned/run_stage1/medium/2/iterations:100",100,1.47396,0.069889,ms,,,,,
"CPU_Pinned/run_stage1/big/1/iterations:100",100,4.51803,0.0420984,ms,,,,,
"CPU_Pinned/run_stage1/big/2/iterations:100",100,2.12077,0.0791565,ms,,,,,
"CPU_Pinned/run_stage2/small/1/iterations:100",100,43.8039,0.778638,ms,,,,,
"CPU_Pinned/run_stage2/small/2/iterations:100",100,23.2331,0.606564,ms,,,,,
"CPU_Pinned/run_stage2/small/3/iterations:100",100,5.7964,0.285861,ms,,,,,
"CPU_Pinned/run_stage2/small/4/iterations:100",100,4.40086,0.222686,ms,,,,,
"CPU_Pinned/run_stage2/medium/1/iterations:100",100,10.0536,0.25319,ms,,,,,
"CPU_Pinned/run_stage2/medium/2/iterations:100",100,3.16952,0.256821,ms,,,,,
"CPU_Pinned/run_stage2/big/1/iterations:100",100,4.17364,0.080913,ms,,,,,
"CPU_Pinned/run_stage2/big/2/iterations:100",100,2.22011,0.167038,ms,,,,,
"CPU_Pinned/run_stage3/small/1/iterations:100",100,0.667455,0.662535,ms,,,,,
"CPU_Pinned/run_stage3/small/2/iterations:100",100,0.435867,0.431322,ms,,,,,
"CPU_Pinned/run_stage3/small/3/iterations:100",100,0.351896,0.345707,ms,,,,,
"CPU_Pinned/run_stage3/small/4/iterations:100",100,0.332421,0.329724,ms,,,,,
"CPU_Pinned/run_stage3/medium/1/iterations:100",100,0.327288,0.325024,ms,,,,,
"CPU_Pinned/run_stage3/medium/2/iterations:100",100,0.327498,0.325225,ms,,,,,
"CPU_Pinned/run_stage3/big/1/iterations:100",100,0.331901,0.325667,ms,,,,,
"CPU_Pinned/run_stage3/big/2/iterations:100",100,0.335994,0.327682,ms,,,,,
"CPU_Pinned/run_stage4/small/1/iterations:100",100,39.1588,0.331034,ms,,,,,
"CPU_Pinned/run_stage4/small/2/iterations:100",100,21.6428,0.297694,ms,,,,,
"CPU_Pinned/run_stage4/small/3/iterations:100",100,12.7255,0.39085,ms,,,,,
"CPU_Pinned/run_stage4/small/4/iterations:100",100,10.1423,0.778721,ms,,,,,
"CPU_Pinned/run_stage4/medium/1/iterations:100",100,22.867,0.259181,ms,,,,,
"CPU_Pinned/run_stage4/medium/2/iterations:100",100,6.67591,0.167794,ms,,,,,
"CPU_Pinned/run_stage4/big/1/iterations:100",100,23.0011,0.207381,ms,,,,,
"CPU_Pinned/run_stage4/big/2/iterations:100",100,6.18068,0.264294,ms,,,,,
"CPU_Pinned/run_stage5/small/1/iterations:100",100,7.69839,0.289078,ms,,,,,
"CPU_Pinned/run_stage5/small/2/iterations:100",100,1.76828,0.0664912,ms,,,,,
"CPU_Pinned/run_stage5/small/3/iterations:100",100,1.1311,0.0685359,ms,,,,,
"CPU_Pinned/run_stage5/small/4/iterations:100",100,0.845846,0.0577311,ms,,,,,
"CPU_Pinned/run_stage5/medium/1/iterations:100",100,4.31878,0.097854,ms,,,,,
"CPU_Pinned/run_stage5/medium/2/iterations:100",100,1.2477,0.0516012,ms,,,,,
"CPU_Pinned/run_stage5/big/1/iterations:100",100,4.80456,0.0985348,ms,,,,,
"CPU_Pinned/run_stage5/big/2/iterations:100",100,1.09769,0.0355762,ms,,,,,
"CPU_Pinned/run_stage6/small/1/iterations:100",100,0.905021,0.0412036,ms,,,,,
"CPU_Pinned/run_stage6/small/2/iterations:100",100,0.413847,0.029707,ms,,,,,
"CPU_Pinned/run_stage6/small/3/iterations:100",100,0.291407,0.0261833,ms,,,,,
